input_name,description,delay,source_xlsx
mp_triple_puff,Mouthpiece Hard Puff All Three sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_left_sip_soft,Mouthpiece Soft Sip Left sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_left_puff_soft,Mouthpiece Soft Puff Left sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_center_sip_soft,Mouthpiece Soft Sip Center sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_center_puff_soft,Mouthpiece Soft Puff Center sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_right_sip_soft,Mouthpiece Soft Sip Right sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_right_puff_soft,Mouthpiece Soft Puff Right sip/puff sensor,delay,Matt Victor CODMW.xlsx
mp_left_center_sip_soft,Mouthpiece Soft Sip Left-Center sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_left_center_puff_soft,Mouthpiece Soft Puff Left-Center sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_right_center_sip_soft,Mouthpiece Soft Sip Right-Center sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_right_center_puff_soft,Mouthpiece Soft Puff Right-Center sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_left_right_sip_soft,Mouthpiece Soft Sip Left-Right sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_left_right_puff_soft,Mouthpiece Soft Puff Left-Right sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_triple_sip_soft,Mouthpiece Soft Sip All Three sip/puff sensors,delay,Matt Victor CODMW.xlsx
mp_triple_puff_soft,Mouthpiece Soft Puff All Three sip/puff sensors,delay,Matt Victor CODMW.xlsx
right_sip,Hard Sip Right sip/puff sensor,instant,Matt Victor CODMW.xlsx
right_puff,Hard Puff Right sip/puff sensor,instant,Matt Victor CODMW.xlsx
right_sip_soft,Soft Sip Right sip/puff sensor,delay,Matt Victor CODMW.xlsx
right_puff_soft,Soft Puff Right sip/puff sensor,delay,Matt Victor CODMW.xlsx
lip,Lower Lip Position sensor,instant,Matt Victor CODMW.xlsx
lip_soft,Lower Lip Position sensor less push,delay,Matt Victor CODMW.xlsx
left,Joystick Left Analog value,instant,Matt Victor CODMW.xlsx
right,Joystick Right Analog value,instant,Matt Victor CODMW.xlsx
up,Joystick Up Analog value,instant,Matt Victor CODMW.xlsx
down,Joystick Down Analog value,instant,Matt Victor CODMW.xlsx
N,Joystick Outer ring North zone,instant,Matt Victor CODMW.xlsx
NE,Joystick Outer ring North East zone,instant,Matt Victor CODMW.xlsx
E,Joystick Outer ring East zone,instant,Matt Victor CODMW.xlsx
SE,Joystick Outer ring South East zone,instant,Matt Victor CODMW.xlsx
S,Joystick Outer ring South zone,instant,Matt Victor CODMW.xlsx
SW,Joystick Outer ring South West zone,instant,Matt Victor CODMW.xlsx
W,Joystick Outer ring West zone,instant,Matt Victor CODMW.xlsx
NW,Joystick Outer ring North West zone,instant,Matt Victor CODMW.xlsx
N_inner,Joystick Inner ring North zone,delay,Matt Victor CODMW.xlsx
NE_inner,Joystick Inner ring North East zone,delay,Matt Victor CODMW.xlsx
E_inner,Joystick Inner ring East zone,delay,Matt Victor CODMW.xlsx
SE_inner,Joystick Inner ring South East zone,delay,Matt Victor CODMW.xlsx
S_inner,Joystick Inner ring South zone,delay,Matt Victor CODMW.xlsx
SW_inner,Joystick Inner ring South West zone,delay,Matt Victor CODMW.xlsx
W_inner,Joystick Inner ring West zone,delay,Matt Victor CODMW.xlsx
NW_inner,Joystick Inner ring North West zone,delay,Matt Victor CODMW.xlsx
usb_1_left,USB output report byte 5,instant,Matt Victor CODMW.xlsx
usb_1_right,USB output report byte 6,instant,Matt Victor CODMW.xlsx
usb_1_up,USB output report byte 7,instant,Matt Victor CODMW.xlsx
usb_1_down,USB output report byte 8,instant,Matt Victor CODMW.xlsx
usb_2_left,USB output report byte 1,instant,Matt Victor CODMW.xlsx
usb_2_right,USB output report byte 2,instant,Matt Victor CODMW.xlsx
usb_2_up,USB output report byte 3,instant,Matt Victor CODMW.xlsx
usb_2_down,USB output report byte 4,instant,Matt Victor CODMW.xlsx
usb_1_N,Joystick Outer ring North zone,instant,Matt Victor CODMW.xlsx
usb_1_NE,Joystick Outer ring North East zone,instant,Matt Victor CODMW.xlsx
usb_1_E,Joystick Outer ring East zone,instant,Matt Victor CODMW.xlsx
usb_1_SE,Joystick Outer ring South East zone,instant,Matt Victor CODMW.xlsx
usb_1_S,Joystick Outer ring South zone,instant,Matt Victor CODMW.xlsx
usb_1_SW,Joystick Outer ring South West zone,instant,Matt Victor CODMW.xlsx
usb_1_W,Joystick Outer ring West zone,instant,Matt Victor CODMW.xlsx
usb_1_NW,Joystick Outer ring North West zone,instant,Matt Victor CODMW.xlsx
usb_1_N_inner,Joystick Inner ring North zone,delay,Matt Victor CODMW.xlsx
usb_1_NE_inner,Joystick Inner ring North East zone,delay,Matt Victor CODMW.xlsx
